id1,id2,plagio
0fd5b95a.java,6490bbe8.java,0
464a03b8.java,ff1fc018.java,0
3e6def38.java,548ffb07.java,1
0b91922c.java,71a4f6d2.java,0
9291ca83.java,d6fb3b9e.java,0
213340b3.java,35f0c004.java,0
7bc92b7f.java,9028caf7.java,0
6f393cfe.java,b185d034.java,0
1dab88fb.java,bac616ee.java,0
115c99cb.java,921b6e4a.java,1
5be7547e.java,cb032314.java,0
4e9c4bf9.java,7011024d.java,0
11c2ab99.java,bdfe8110.java,1
680ba922.java,6e207cbf.java,0
14b0fb8e.java,8ddb5587.java,0
16a2a867.java,3951966f.java,0
bf0df1d5.java,ea899386.java,1
b2001d68.java,ba468e1f.java,0
35eb27da.java,64ce7b1e.java,0
5aebbb1b.java,e647bef7.java,0
30e0cc81.java,b55888de.java,0
05f939b3.java,e647bef7.java,0
976fe834.java,da54dec3.java,0
a4d6775d.java,cb87df79.java,1
18e2441c.java,24b20554.java,1
b2590225.java,fdcbdf85.java,0
317a209c.java,6b97058e.java,1
3088ca9c.java,7a9c69d8.java,1
6946f466.java,ce7027ee.java,1
80881cae.java,9555b9d1.java,0
24afd00e.java,810fd282.java,0
6bcc5afd.java,734a94be.java,1
04ed33a5.java,6b83b22e.java,1
c1fef98f.java,f870e76b.java,0
949502c2.java,9fc811f7.java,1
4ea10951.java,66e74577.java,0
cdb801a1.java,ed610dc9.java,0
752ea9a5.java,b2ec0eff.java,0
701c3f35.java,d56bcb0c.java,0
317a209c.java,921b6e4a.java,1
6f02c6d9.java,ff34fab2.java,1
1be078c4.java,bb0949b3.java,0
01c915a2.java,480de7be.java,0
6be98ece.java,e1c4f3db.java,0
6825260d.java,c972dd00.java,1
2e1109d7.java,e7000ac2.java,1
9028caf7.java,d221162a.java,0
74b5ad88.java,dc575a6c.java,0
63a24497.java,6e5ab1d2.java,1
1097b326.java,a60fba84.java,0
3d06b643.java,6bcc5afd.java,1
6f02c6d9.java,884f5678.java,1
23194f89.java,bcc5473d.java,0
0d4d22e0.java,f898cee0.java,0
3dd65549.java,f229aa7f.java,0
44428e63.java,9debf95c.java,0
18e2441c.java,43b10dec.java,1
3a318b43.java,90b71536.java,0
3e6def38.java,e7dce35b.java,1
6bcc5afd.java,f6ca6fc8.java,1
7c11511f.java,ca8f11a4.java,1
1984bef1.java,2063ba3e.java,0
0df4050e.java,f5fde094.java,0
6e7cd58b.java,cfba313d.java,1
2470b521.java,f6ca6fc8.java,0
2f8c3bf3.java,a3abac01.java,1
66e74577.java,6e207cbf.java,0
1f6b81b1.java,51151974.java,0
0017d438.java,9852706b.java,1
0c173033.java,6b83b22e.java,1
24044589.java,e435b1ac.java,0
8535bdf7.java,e86eb5b0.java,0
83b44c9c.java,ed610dc9.java,0
2c7a0000.java,4201fdf7.java,1
24b20554.java,43b10dec.java,1
175201f9.java,40cc90ae.java,0
1469697d.java,69c86b61.java,1
2db37cb1.java,875ed4c8.java,0
9e7551da.java,f0e13442.java,1
354d060f.java,e1c4f3db.java,0
44428e63.java,c850e422.java,0
4dc0247e.java,875ed4c8.java,0
bd65846f.java,d018b49f.java,0
71e0f2e5.java,b226c49a.java,0
7d7cf9a7.java,e45446bc.java,0
8d6f1bf5.java,dc281165.java,0
3666e0e8.java,ac7187d8.java,0
680ba922.java,76ad805a.java,0
69b2fd22.java,9028caf7.java,1
3afcc566.java,d8a171a3.java,0
0ca738ce.java,931faca2.java,0
2120328e.java,52cd85f2.java,0
4e5ee0f7.java,d6fb3b9e.java,0
d55c238c.java,ebce9e39.java,1
54eb12ca.java,949502c2.java,0
11c2ab99.java,e6a6e318.java,1
3afcc566.java,3dd65549.java,0
35f0c004.java,efa38999.java,0
42fe7dd0.java,9291ca83.java,1
5a81e159.java,866a2d52.java,0
3d245498.java,7838095f.java,1
26e699de.java,fcc7e8fa.java,0
9028caf7.java,e6b7a899.java,0
b2590225.java,f7fc2e94.java,0
558df7d4.java,f0d91796.java,1
bf85ab7b.java,e48933fa.java,0
722e318f.java,ff1fc018.java,0
68cdd55d.java,c18048bf.java,0
0fd5b95a.java,41e72d4f.java,0
16857116.java,e185bce5.java,0
1dab88fb.java,7b5f64b7.java,0
680ba922.java,ee4b9467.java,0
0c1143f7.java,960a4c0f.java,0
3d88acb8.java,b6023b26.java,0
9069684f.java,bf85ab7b.java,0
32ff22fe.java,f0d91796.java,0
36f1b52a.java,558df7d4.java,1
39098126.java,3bcd2014.java,0
0588b869.java,9028caf7.java,0
22b41936.java,8f855b99.java,0
584b0e9e.java,722e318f.java,0
7814575b.java,8cfe3ee0.java,0
034030f3.java,bf992c91.java,1
99bc7da3.java,ced4639e.java,0
403e3270.java,58d18fca.java,1
80881cae.java,a7e7f371.java,1
4a570de6.java,9852706b.java,0
316c9955.java,e7370eec.java,0
375489f2.java,a4c98ae1.java,0
26e699de.java,e99c14b9.java,0
2695ce73.java,ac8acb97.java,1
1162c08f.java,a4d6775d.java,1
480de7be.java,f4757480.java,1
