id1,id2,plagio
0.java,2.java,1
0.java,3.java,1
0.java,4.java,1
0.java,5.java,1
0.java,6.java,1
0.java,7.java,1
0.java,8.java,1
0.java,9.java,1
0.java,10.java,1
0.java,11.java,1
0.java,12.java,1
0.java,13.java,1
0.java,14.java,1
0.java,15.java,1
0.java,16.java,1
0.java,17.java,1
0.java,18.java,1
0.java,19.java,1
0.java,20.java,1
0.java,21.java,1
0.java,22.java,1
0.java,23.java,1
0.java,24.java,1
0.java,25.java,1
0.java,26.java,1
0.java,27.java,1
0.java,28.java,1
0.java,29.java,1
0.java,30.java,1
0.java,31.java,1
0.java,32.java,1
0.java,33.java,1
0.java,34.java,1
0.java,35.java,1
0.java,36.java,1
0.java,37.java,1
0.java,38.java,1
0.java,39.java,1
0.java,40.java,1
0.java,41.java,1
0.java,41.java,0
0.java,42.java,0
0.java,43.java,0
0.java,44.java,0
0.java,45.java,0
0.java,46.java,0
0.java,47.java,0
0.java,48.java,0
0.java,49.java,0
0.java,50.java,0
0.java,51.java,0
0.java,52.java,0
0.java,53.java,0
0.java,54.java,0
0.java,55.java,0
56.java,58.java,1
56.java,59.java,1
56.java,60.java,1
56.java,61.java,1
56.java,62.java,1
56.java,63.java,1
56.java,64.java,1
56.java,65.java,1
56.java,66.java,1
56.java,67.java,1
56.java,68.java,1
56.java,69.java,1
56.java,70.java,1
56.java,71.java,1
56.java,72.java,1
56.java,73.java,1
56.java,74.java,1
56.java,75.java,1
56.java,76.java,1
56.java,77.java,1
56.java,78.java,1
56.java,79.java,1
56.java,80.java,1
56.java,81.java,1
56.java,82.java,1
56.java,83.java,1
56.java,84.java,1
56.java,85.java,1
56.java,86.java,1
56.java,87.java,1
56.java,88.java,1
56.java,89.java,1
56.java,90.java,1
56.java,91.java,1
56.java,92.java,1
56.java,93.java,1
56.java,94.java,1
56.java,95.java,1
56.java,96.java,1
56.java,97.java,1
56.java,98.java,1
56.java,99.java,1
56.java,100.java,1
56.java,101.java,1
56.java,102.java,1
56.java,103.java,1
56.java,104.java,1
56.java,105.java,1
56.java,106.java,1
56.java,107.java,1
56.java,108.java,1
56.java,109.java,1
56.java,110.java,1
56.java,111.java,1
56.java,111.java,0
56.java,112.java,0
56.java,113.java,0
56.java,114.java,0
56.java,115.java,0
56.java,116.java,0
56.java,117.java,0
56.java,118.java,0
56.java,119.java,0
56.java,120.java,0
56.java,121.java,0
56.java,122.java,0
56.java,123.java,0
56.java,124.java,0
56.java,125.java,0
126.java,128.java,1
126.java,129.java,1
126.java,130.java,1
126.java,131.java,1
126.java,132.java,1
126.java,133.java,1
126.java,134.java,1
126.java,135.java,1
126.java,136.java,1
126.java,137.java,1
126.java,138.java,1
126.java,139.java,1
126.java,140.java,1
126.java,141.java,1
126.java,142.java,1
126.java,143.java,1
126.java,144.java,1
126.java,145.java,1
126.java,146.java,1
126.java,147.java,1
126.java,148.java,1
126.java,149.java,1
126.java,150.java,1
126.java,151.java,1
126.java,152.java,1
126.java,153.java,1
126.java,154.java,1
126.java,155.java,1
126.java,156.java,1
126.java,157.java,1
126.java,158.java,1
126.java,159.java,1
126.java,160.java,1
126.java,161.java,1
126.java,162.java,1
126.java,163.java,1
126.java,164.java,1
126.java,165.java,1
126.java,166.java,1
126.java,167.java,1
126.java,168.java,1
126.java,169.java,1
126.java,170.java,1
126.java,171.java,1
126.java,172.java,1
126.java,173.java,1
126.java,174.java,1
126.java,175.java,1
126.java,176.java,1
126.java,177.java,1
126.java,178.java,1
126.java,179.java,1
126.java,179.java,0
126.java,180.java,0
126.java,181.java,0
126.java,182.java,0
126.java,183.java,0
126.java,184.java,0
126.java,185.java,0
126.java,186.java,0
126.java,187.java,0
126.java,188.java,0
126.java,189.java,0
126.java,190.java,0
126.java,191.java,0
126.java,192.java,0
126.java,193.java,0
194.java,196.java,1
194.java,197.java,1
194.java,198.java,1
194.java,199.java,1
194.java,200.java,1
194.java,201.java,1
194.java,202.java,1
194.java,203.java,1
194.java,204.java,1
194.java,205.java,1
194.java,206.java,1
194.java,207.java,1
194.java,208.java,1
194.java,209.java,1
194.java,210.java,1
194.java,211.java,1
194.java,212.java,1
194.java,213.java,1
194.java,214.java,1
194.java,215.java,1
194.java,216.java,1
194.java,217.java,1
194.java,218.java,1
194.java,219.java,1
194.java,220.java,1
194.java,221.java,1
194.java,222.java,1
194.java,223.java,1
194.java,224.java,1
194.java,225.java,1
194.java,226.java,1
194.java,227.java,1
194.java,228.java,1
194.java,229.java,1
194.java,230.java,1
194.java,231.java,1
194.java,232.java,1
194.java,233.java,1
194.java,234.java,1
194.java,235.java,1
194.java,236.java,1
194.java,237.java,1
194.java,238.java,1
194.java,239.java,1
194.java,240.java,1
194.java,241.java,1
194.java,242.java,1
194.java,243.java,1
194.java,244.java,1
194.java,245.java,1
194.java,246.java,1
194.java,247.java,1
194.java,248.java,1
194.java,249.java,1
194.java,249.java,0
194.java,250.java,0
194.java,251.java,0
194.java,252.java,0
194.java,253.java,0
194.java,254.java,0
194.java,255.java,0
194.java,256.java,0
194.java,257.java,0
194.java,258.java,0
194.java,259.java,0
194.java,260.java,0
194.java,261.java,0
194.java,262.java,0
194.java,263.java,0
264.java,266.java,1
264.java,267.java,1
264.java,268.java,1
264.java,269.java,1
264.java,270.java,1
264.java,271.java,1
264.java,272.java,1
264.java,273.java,1
264.java,274.java,1
264.java,275.java,1
264.java,276.java,1
264.java,277.java,1
264.java,278.java,1
264.java,279.java,1
264.java,280.java,1
264.java,281.java,1
264.java,282.java,1
264.java,283.java,1
264.java,284.java,1
264.java,285.java,1
264.java,286.java,1
264.java,287.java,1
264.java,288.java,1
264.java,289.java,1
264.java,290.java,1
264.java,291.java,1
264.java,292.java,1
264.java,293.java,1
264.java,294.java,1
264.java,295.java,1
264.java,296.java,1
264.java,297.java,1
264.java,298.java,1
264.java,299.java,1
264.java,300.java,1
264.java,301.java,1
264.java,302.java,1
264.java,303.java,1
264.java,304.java,1
264.java,305.java,1
264.java,306.java,1
264.java,307.java,1
264.java,308.java,1
264.java,309.java,1
264.java,310.java,1
264.java,311.java,1
264.java,312.java,1
264.java,313.java,1
264.java,314.java,1
264.java,315.java,1
264.java,316.java,1
264.java,317.java,1
264.java,318.java,1
264.java,318.java,0
264.java,319.java,0
264.java,320.java,0
264.java,321.java,0
264.java,322.java,0
264.java,323.java,0
264.java,324.java,0
264.java,325.java,0
264.java,326.java,0
264.java,327.java,0
264.java,328.java,0
264.java,329.java,0
264.java,330.java,0
264.java,331.java,0
264.java,332.java,0
333.java,335.java,1
333.java,336.java,1
333.java,337.java,1
333.java,338.java,1
333.java,339.java,1
333.java,340.java,1
333.java,341.java,1
333.java,342.java,1
333.java,343.java,1
333.java,344.java,1
333.java,345.java,1
333.java,346.java,1
333.java,347.java,1
333.java,348.java,1
333.java,349.java,1
333.java,350.java,1
333.java,351.java,1
333.java,352.java,1
333.java,353.java,1
333.java,354.java,1
333.java,355.java,1
333.java,356.java,1
333.java,357.java,1
333.java,358.java,1
333.java,359.java,1
333.java,360.java,1
333.java,361.java,1
333.java,362.java,1
333.java,363.java,1
333.java,364.java,1
333.java,365.java,1
333.java,366.java,1
333.java,367.java,1
333.java,368.java,1
333.java,369.java,1
333.java,370.java,1
333.java,371.java,1
333.java,372.java,1
333.java,373.java,1
333.java,374.java,1
333.java,375.java,1
333.java,376.java,1
333.java,377.java,1
333.java,378.java,1
333.java,379.java,1
333.java,380.java,1
333.java,381.java,1
333.java,382.java,1
333.java,383.java,1
333.java,384.java,1
333.java,385.java,1
333.java,385.java,0
333.java,386.java,0
333.java,387.java,0
333.java,388.java,0
333.java,389.java,0
333.java,390.java,0
333.java,391.java,0
333.java,392.java,0
333.java,393.java,0
333.java,394.java,0
333.java,395.java,0
333.java,396.java,0
333.java,397.java,0
333.java,398.java,0
333.java,399.java,0
400.java,402.java,1
400.java,403.java,1
400.java,404.java,1
400.java,405.java,1
400.java,406.java,1
400.java,407.java,1
400.java,408.java,1
400.java,409.java,1
400.java,410.java,1
400.java,411.java,1
400.java,412.java,1
400.java,413.java,1
400.java,414.java,1
400.java,415.java,1
400.java,416.java,1
400.java,417.java,1
400.java,418.java,1
400.java,419.java,1
400.java,420.java,1
400.java,421.java,1
400.java,422.java,1
400.java,423.java,1
400.java,424.java,1
400.java,425.java,1
400.java,426.java,1
400.java,427.java,1
400.java,428.java,1
400.java,429.java,1
400.java,430.java,1
400.java,431.java,1
400.java,432.java,1
400.java,433.java,1
400.java,434.java,1
400.java,435.java,1
400.java,436.java,1
400.java,437.java,1
400.java,438.java,1
400.java,439.java,1
400.java,440.java,1
400.java,441.java,1
400.java,442.java,1
400.java,443.java,1
400.java,444.java,1
400.java,445.java,1
400.java,446.java,1
400.java,447.java,1
400.java,448.java,1
400.java,449.java,1
400.java,450.java,1
400.java,451.java,1
400.java,452.java,1
400.java,452.java,0
400.java,453.java,0
400.java,454.java,0
400.java,455.java,0
400.java,456.java,0
400.java,457.java,0
400.java,458.java,0
400.java,459.java,0
400.java,460.java,0
400.java,461.java,0
400.java,462.java,0
400.java,463.java,0
400.java,464.java,0
400.java,465.java,0
400.java,466.java,0
